pathway	pathway	pval	padj
ANATOMICAL STRUCTURE DEVELOPMENT%GOBP%GO:0048856	ANATOMICAL STRUCTURE DEVELOPMENT%GOBP%GO:0048856	0.08599579522483	0.762025316455696
BIOLOGICAL REGULATION%GOBP%GO:0065007	BIOLOGICAL REGULATION%GOBP%GO:0065007	0.0723039215686275	0.762025316455696
BIOLOGICAL_PROCESS%GOBP%GO:0008150	BIOLOGICAL_PROCESS%GOBP%GO:0008150	0.970027247956403	0.986318407960199
CELL COMMUNICATION%GOBP%GO:0007154	CELL COMMUNICATION%GOBP%GO:0007154	0.941992433795713	0.986318407960199
CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007166	CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007166	0.984042553191489	0.986318407960199
CELLULAR COMPONENT ASSEMBLY%GOBP%GO:0022607	CELLULAR COMPONENT ASSEMBLY%GOBP%GO:0022607	0.660904255319149	0.954101133096567
CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044085	CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044085	0.660904255319149	0.954101133096567
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840	CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840	0.799261083743842	0.954101133096567
CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043	CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043	0.799261083743842	0.954101133096567
CELLULAR METABOLIC PROCESS%GOBP%GO:0044237	CELLULAR METABOLIC PROCESS%GOBP%GO:0044237	0.49537037037037	0.954101133096567
CELLULAR PROCESS%GOBP%GO:0009987	CELLULAR PROCESS%GOBP%GO:0009987	0.720245398773006	0.954101133096567
CELLULAR RESPONSE TO CHEMICAL STIMULUS%GOBP%GO:0070887	CELLULAR RESPONSE TO CHEMICAL STIMULUS%GOBP%GO:0070887	0.763157894736842	0.954101133096567
CELLULAR RESPONSE TO ENDOGENOUS STIMULUS%GOBP%GO:0071495	CELLULAR RESPONSE TO ENDOGENOUS STIMULUS%GOBP%GO:0071495	0.452855245683931	0.936708860759494
CELLULAR RESPONSE TO ORGANIC SUBSTANCE%GOBP%GO:0071310	CELLULAR RESPONSE TO ORGANIC SUBSTANCE%GOBP%GO:0071310	0.772185430463576	0.954101133096567
CELLULAR RESPONSE TO STIMULUS%GOBP%GO:0051716	CELLULAR RESPONSE TO STIMULUS%GOBP%GO:0051716	0.758706467661692	0.954101133096567
DEVELOPMENTAL PROCESS%GOBP%GO:0032502	DEVELOPMENTAL PROCESS%GOBP%GO:0032502	0.267206477732794	0.883836810962317
DISEASE%REACTOME DATABASE ID RELEASE 80%1643685	DISEASE%REACTOME DATABASE ID RELEASE 80%1643685	0.377659574468085	0.936708860759494
ESTABLISHMENT OF LOCALIZATION%GOBP%GO:0051234	ESTABLISHMENT OF LOCALIZATION%GOBP%GO:0051234	0.32573726541555	0.936708860759494
IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 80%168256	IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 80%168256	0.827357237715803	0.956782199400941
